,Unnamed: 0,Ticker_Symbol,Years,Period_Ending, Total _Revenue ,Revenue,COGS ," Sales, General and Admin. ",R&D,Unnamed: 9,Unnamed: 10, Other_Operating_expense,GICS_Sector,GICS_Sub_Industry,Unnamed: 14,Unnamed: 15,Column1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
436,464,DIS,Year 1,9/28/2013," $45,041,000,000 ",45041000000.0," $25,034,000,000 "," $8,365,000,000 ", $-   , -   ,    ," $2,192,000,000 ",Consumer Discretionary,Broadcasting & Cable TV,,,,,,    ,,    
437,465,DIS,Year 2,9/27/2014," $48,813,000,000 ",48813000000.0," $26,420,000,000 "," $8,565,000,000 ", $-   , -   ,    ," $2,288,000,000 ",Consumer Discretionary,Broadcasting & Cable TV,,,,,,    ,,    
438,466,DIS,Year 3,10-03-2015," $52,465,000,000 ",52465000000.0," $28,364,000,000 "," $8,523,000,000 ", $-   , -   ,    ," $2,354,000,000 ",Consumer Discretionary,Broadcasting & Cable TV,,,,,,    ,,    
439,467,DIS,Year 4,10-01-2016," $55,632,000,000 ",55632000000.0," $29,993,000,000 "," $8,754,000,000 ", $-   , -   ,    ," $2,527,000,000 ",Consumer Discretionary,Broadcasting & Cable TV,,,,,,    ,,    
440,468,DISCA,Year 1,12/31/2013," $5,535,000,000 ",5535000000.0," $1,689,000,000 "," $1,598,000,000 ", $-   , -   ,    ," $276,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,    
441,469,DISCA,Year 2,12/31/2014," $6,265,000,000 ",6265000000.0," $2,124,000,000 "," $1,692,000,000 ", $-   , -   ,    ," $329,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,    
442,470,DISCA,Year 3,12/31/2015," $6,394,000,000 ",6394000000.0," $2,343,000,000 "," $1,669,000,000 ", $-   , -   ,    ," $330,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,    
443,471,DISCA,Year 4,12/31/2016," $6,497,000,000 ",6497000000.0," $2,432,000,000 "," $1,690,000,000 ", $-   , -   ,    ," $322,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,    
444,472,DISCK,Year 1,12/31/2013," $5,535,000,000 ",5535000000.0," $1,689,000,000 "," $1,598,000,000 ", $-   , -   ,    ," $276,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,    
445,473,DISCK,Year 2,12/31/2014," $6,265,000,000 ",6265000000.0," $2,124,000,000 "," $1,692,000,000 ", $-   , -   ,    ," $329,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,    
446,474,DISCK,Year 3,12/31/2015," $6,394,000,000 ",6394000000.0," $2,343,000,000 "," $1,669,000,000 ", $-   , -   ,    ," $330,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,
447,475,DISCK,Year 4,12/31/2016," $6,497,000,000 ",6497000000.0," $2,432,000,000 "," $1,690,000,000 ", $-   , -   ,    ," $322,000,000 ",Consumer Discretionary,Cable & Satellite,,,,,,    ,,
448,476,DLPH,Year 1,12/31/2013," $15,051,000,000 ",15051000000.0," $12,274,000,000 "," $916,000,000 ", $-   , -   ,    ," $97,000,000 ",Consumer Discretionary,Auto Parts & Equipment,,,,,,    ,,
449,477,DLPH,Year 2,12/31/2014," $15,499,000,000 ",15499000000.0," $12,471,000,000 "," $1,036,000,000 ", $-   , -   ,    ," $94,000,000 ",Consumer Discretionary,Auto Parts & Equipment,,,,,,    ,,
450,478,DLPH,Year 3,12/31/2015," $15,165,000,000 ",15165000000.0," $12,155,000,000 "," $1,017,000,000 ", $-   , -   ,    ," $93,000,000 ",Consumer Discretionary,Auto Parts & Equipment,,,,,,    ,,
451,479,DLPH,Year 4,12/31/2016," $16,661,000,000 ",16661000000.0," $13,107,000,000 "," $1,145,000,000 ", $-   , -   ,    ," $134,000,000 ",Consumer Discretionary,Auto Parts & Equipment,,,,,,    ,,
452,480,DLR,Year 1,12/31/2012," $1,279,067,000 ",1279067000.0," $461,898,000 "," $68,538,000 ", $-   , -   ,    ," $382,553,000 ",Real Estate,Specialized REITs,,,,,,    ,,
453,481,DLR,Year 2,12/31/2013," $1,482,259,000 ",1482259000.0," $555,660,000 "," $69,323,000 ", $-   , -   ,    ," $475,464,000 ",Real Estate,Specialized REITs,,,,,,    ,,
454,482,DLR,Year 3,12/31/2014," $1,616,438,000 ",1616438000.0," $603,321,000 "," $89,468,000 ", $-   , -   ,    ," $538,513,000 ",Real Estate,Specialized REITs,,,,,,    ,,
455,483,DLR,Year 4,12/31/2015," $1,763,336,000 ",1763336000.0," $651,282,000 "," $139,616,000 ", $-   , -   ,    ," $570,527,000 ",Real Estate,Specialized REITs,,,,,,    ,,
456,484,DLTR,Year 1,02-02-2013," $7,394,500,000 ",7394500000.0," $4,741,800,000 "," $1,732,600,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,General Merchandise Stores,,,,,,    ,,
457,485,DLTR,Year 2,02-01-2014," $7,840,300,000 ",7840300000.0," $5,050,500,000 "," $1,819,500,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,General Merchandise Stores,,,,,,    ,,
458,486,DLTR,Year 3,1/31/2015," $8,602,200,000 ",8602200000.0," $5,568,200,000 "," $1,993,800,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,General Merchandise Stores,,,,,,    ,,
459,487,DLTR,Year 4,1/30/2016," $15,498,400,000 ",15498400000.0," $10,841,700,000 "," $3,607,000,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,General Merchandise Stores,,,,,,    ,,
460,488,DNB,Year 1,12/31/2012," $1,663,000,000 ",1663000000.0, $-   ," $1,123,200,000 ", $-   , -   ,    ," $78,300,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
461,489,DNB,Year 2,12/31/2013," $1,558,400,000 ",1558400000.0, $-   ," $1,058,000,000 ", $-   , -   ,    ," $60,400,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
462,490,DNB,Year 3,12/31/2014," $1,584,500,000 ",1584500000.0, $-   ," $1,105,700,000 ", $-   , -   ,    ," $52,500,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
463,491,DNB,Year 4,12/31/2015," $1,637,100,000 ",1637100000.0, $-   ," $1,209,100,000 ", $-   , -   ,    ," $58,700,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
464,492,DOV,Year 1,12/31/2013," $7,155,096,000 ",7155096000.0," $4,376,505,000 "," $1,616,921,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Machinery,,,,,,    ,,
465,493,DOV,Year 2,12/31/2014," $7,752,728,000 ",7752728000.0," $4,778,479,000 "," $1,758,765,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Machinery,,,,,,    ,,
466,494,DOV,Year 3,12/31/2015," $6,956,311,000 ",6956311000.0," $4,388,167,000 "," $1,647,382,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Machinery,,,,,,    ,,
467,495,DOV,Year 4,12/31/2016," $6,794,342,000 ",6794342000.0," $4,322,373,000 "," $1,757,523,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Machinery,,,,,,    ,,
468,496,DPS,Year 1,12/31/2013," $5,997,000,000 ",5997000000.0," $2,499,000,000 "," $2,337,000,000 ", $-   , -   ,    ," $115,000,000 ",Consumer Staples,Soft Drinks,,,,,,    ,,
469,497,DPS,Year 2,12/31/2014," $6,121,000,000 ",6121000000.0," $2,491,000,000 "," $2,335,000,000 ", $-   , -   ,    ," $115,000,000 ",Consumer Staples,Soft Drinks,,,,,,    ,,
470,498,DPS,Year 3,12/31/2015," $6,282,000,000 ",6282000000.0," $2,559,000,000 "," $2,320,000,000 ", $-   , -   ,    ," $105,000,000 ",Consumer Staples,Soft Drinks,,,,,,    ,,
471,499,DPS,Year 4,12/31/2016," $6,440,000,000 ",6440000000.0," $2,582,000,000 "," $2,326,000,000 ", $-   , -   ,    ," $99,000,000 ",Consumer Staples,Soft Drinks,,,,,,    ,,
472,500,DRI,Year 1,5/26/2013," $5,921,000,000 ",5921000000.0," $4,616,600,000 "," $625,200,000 ", $-   , -   ,    ," $278,300,000 ",Consumer Discretionary,Restaurants,,,,,,    ,,
473,501,DRI,Year 2,5/25/2014," $6,285,600,000 ",6285600000.0," $4,990,500,000 "," $665,400,000 ", $-   , -   ,    ," $304,400,000 ",Consumer Discretionary,Restaurants,,,,,,    ,,
474,502,DRI,Year 3,5/31/2015," $6,764,000,000 ",6764000000.0," $5,341,500,000 "," $673,500,000 ", $-   , -   ,    ," $319,300,000 ",Consumer Discretionary,Restaurants,,,,,,    ,,
475,503,DRI,Year 4,5/29/2016," $6,933,500,000 ",6933500000.0," $5,392,400,000 "," $622,900,000 ", $-   , -   ,    ," $290,200,000 ",Consumer Discretionary,Restaurants,,,,,,    ,,
476,504,DUK,Year 1,12/31/2012," $17,912,000,000 ",17912000000.0," $11,235,000,000 "," $965,000,000 ", $-   , -   ,    ," $2,145,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
477,505,DUK,Year 2,12/31/2013," $22,756,000,000 ",22756000000.0," $13,545,000,000 "," $1,274,000,000 ", $-   , -   ,    ," $2,668,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
478,506,DUK,Year 3,12/31/2014," $23,925,000,000 ",23925000000.0," $14,323,000,000 "," $1,213,000,000 ", $-   , -   ,    ," $3,066,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
479,507,DUK,Year 4,12/31/2015," $23,459,000,000 ",23459000000.0," $13,728,000,000 "," $1,135,000,000 ", $-   , -   ,    ," $3,144,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
480,508,DVA,Year 1,12/31/2012," $8,186,280,000 ",8186280000.0," $5,583,549,000 "," $889,879,000 ", $-   , -   ,    ," $341,969,000 ",Health Care,Health Care Facilities,,,,,,    ,,
481,509,DVA,Year 2,12/31/2013," $11,764,050,000 ",11764050000.0," $8,198,377,000 "," $1,516,508,000 ", $-   , -   ,    ," $528,737,000 ",Health Care,Health Care Facilities,,,,,,    ,,
482,510,DVA,Year 3,12/31/2014," $12,795,106,000 ",12795106000.0," $9,119,305,000 "," $1,278,506,000 ", $-   , -   ,    ," $590,935,000 ",Health Care,Health Care Facilities,,,,,,    ,,
483,511,DVA,Year 4,12/31/2015," $13,781,837,000 ",13781837000.0," $9,824,834,000 "," $1,947,135,000 ", $-   , -   ,    ," $638,024,000 ",Health Care,Health Care Facilities,,,,,,    ,,
484,512,DVN,Year 1,12/31/2013," $10,397,000,000 ",10397000000.0," $2,268,000,000 "," $2,743,000,000 ", $-   , -   ,    ," $2,780,000,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
485,513,DVN,Year 2,12/31/2014," $20,638,000,000 ",20638000000.0," $2,332,000,000 "," $8,290,000,000 ", $-   , -   ,    ," $3,319,000,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
486,514,DVN,Year 3,12/31/2015," $13,145,000,000 ",13145000000.0," $2,104,000,000 "," $7,741,000,000 ", $-   , -   ,    ," $3,129,000,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
487,515,DVN,Year 4,12/31/2016," $12,197,000,000 ",12197000000.0," $1,582,000,000 "," $6,476,000,000 ", $-   , -   ,    ," $1,792,000,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
488,516,EA,Year 1,3/31/2013," $3,797,000,000 ",3797000000.0," $1,388,000,000 "," $1,078,000,000 "," $1,153,000,000 "," 1,153,000,000 "," 1,153,000,000 "," $30,000,000 ",Information Technology,Home Entertainment Software,,,,,," 1,153,000,000 ",,
489,517,EA,Year 2,3/31/2014," $3,575,000,000 ",3575000000.0," $1,347,000,000 "," $1,055,000,000 "," $1,125,000,000 "," 1,125,000,000 "," 1,125,000,000 "," $16,000,000 ",Information Technology,Home Entertainment Software,,,,,," 1,125,000,000 ",,
490,518,EA,Year 3,3/31/2015," $4,515,000,000 ",4515000000.0," $1,429,000,000 "," $1,030,000,000 "," $1,094,000,000 "," 1,094,000,000 "," 1,094,000,000 "," $14,000,000 ",Information Technology,Home Entertainment Software,,,,,," 1,094,000,000 ",,
491,519,EA,Year 4,3/31/2016," $4,396,000,000 ",4396000000.0," $1,354,000,000 "," $1,028,000,000 "," $1,109,000,000 "," 1,109,000,000 "," 1,109,000,000 "," $7,000,000 ",Information Technology,Home Entertainment Software,,,,,," 1,109,000,000 ",,
492,520,EBAY,Year 1,12/31/2013," $8,257,000,000 ",8257000000.0," $1,492,000,000 "," $3,260,000,000 "," $915,000,000 "," 915,000,000 "," 915,000,000 "," $136,000,000 ",Information Technology,Internet Software & Services,,,,,," 915,000,000 ",,
493,521,EBAY,Year 2,12/31/2014," $8,790,000,000 ",8790000000.0," $1,663,000,000 "," $3,593,000,000 "," $983,000,000 "," 983,000,000 "," 983,000,000 "," $75,000,000 ",Information Technology,Internet Software & Services,,,,,," 983,000,000 ",,
494,522,EBAY,Year 3,12/31/2015," $8,592,000,000 ",8592000000.0," $1,771,000,000 "," $3,660,000,000 "," $923,000,000 "," 923,000,000 "," 923,000,000 "," $41,000,000 ",Information Technology,Internet Software & Services,,,,,," 923,000,000 ",,
495,523,EBAY,Year 4,12/31/2016," $8,979,000,000 ",8979000000.0," $2,007,000,000 "," $3,499,000,000 "," $1,114,000,000 "," 1,114,000,000 "," 1,114,000,000 "," $34,000,000 ",Information Technology,Internet Software & Services,,,,,," 1,114,000,000 ",,
496,524,ECL,Year 1,12/31/2012," $11,838,700,000 ",11838700000.0," $6,385,400,000 "," $4,018,300,000 ", $-   , -   ,    , $-   ,Materials,Specialty Chemicals,,,,,,    ,,
497,525,ECL,Year 2,12/31/2013," $13,253,400,000 ",13253400000.0," $7,161,200,000 "," $4,360,300,000 ", $-   , -   ,    , $-   ,Materials,Specialty Chemicals,,,,,,    ,,
498,526,ECL,Year 3,12/31/2014," $14,280,500,000 ",14280500000.0," $7,679,100,000 "," $4,577,600,000 ", $-   , -   ,    , $-   ,Materials,Specialty Chemicals,,,,,,    ,,
499,527,ECL,Year 4,12/31/2015," $13,545,100,000 ",13545100000.0," $7,223,500,000 "," $4,345,500,000 ", $-   , -   ,    , $-   ,Materials,Specialty Chemicals,,,,,,    ,,
500,528,ED,Year 1,12/31/2013," $12,354,000,000 ",12354000000.0," $7,191,000,000 "," $1,895,000,000 ", $-   , -   ,    ," $1,024,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
501,529,ED,Year 2,12/31/2014," $12,919,000,000 ",12919000000.0," $7,807,000,000 "," $1,877,000,000 ", $-   , -   ,    ," $1,071,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
502,530,ED,Year 3,12/31/2015," $12,554,000,000 ",12554000000.0," $7,060,000,000 "," $1,937,000,000 ", $-   , -   ,    ," $1,130,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
503,531,ED,Year 4,12/31/2016," $12,075,000,000 ",12075000000.0," $6,357,000,000 "," $2,031,000,000 ", $-   , -   ,    ," $1,216,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
504,532,EFX,Year 1,12/31/2012," $2,073,000,000 ",2073000000.0," $759,500,000 "," $673,500,000 ", $-   , -   ,    ," $160,000,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
505,533,EFX,Year 2,12/31/2013," $2,303,900,000 ",2303900000.0," $787,300,000 "," $715,800,000 ", $-   , -   ,    ," $189,600,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
506,534,EFX,Year 3,12/31/2014," $2,436,400,000 ",2436400000.0," $844,700,000 "," $751,700,000 ", $-   , -   ,    ," $201,800,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
507,535,EFX,Year 4,12/31/2015," $2,663,600,000 ",2663600000.0," $887,400,000 "," $884,300,000 ", $-   , -   ,    ," $198,000,000 ",Industrials,Research & Consulting Services,,,,,,    ,,
508,536,EIX,Year 1,12/31/2012," $11,862,000,000 ",11862000000.0," $7,747,000,000 "," $296,000,000 ", $-   , -   ,    ," $1,562,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
509,537,EIX,Year 2,12/31/2013," $12,581,000,000 ",12581000000.0," $8,364,000,000 "," $309,000,000 ", $-   , -   ,    ," $1,622,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
510,538,EIX,Year 3,12/31/2014," $13,413,000,000 ",13413000000.0," $8,742,000,000 "," $322,000,000 ", $-   , -   ,    ," $1,720,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
511,539,EIX,Year 4,12/31/2015," $11,524,000,000 ",11524000000.0," $7,256,000,000 "," $336,000,000 ", $-   , -   ,    ," $1,919,000,000 ",Utilities,Electric Utilities,,,,,,    ,,
512,540,EL,Year 1,6/30/2013," $10,181,700,000 ",10181700000.0," $2,025,900,000 "," $6,597,000,000 ", $-   , -   ,    , $-   ,Consumer Staples,Personal Products,,,,,,    ,,
513,541,EL,Year 2,6/30/2014," $10,968,800,000 ",10968800000.0," $2,158,200,000 "," $6,985,900,000 ", $-   , -   ,    , $-   ,Consumer Staples,Personal Products,,,,,,    ,,
514,542,EL,Year 3,6/30/2015," $10,780,400,000 ",10780400000.0," $2,100,600,000 "," $7,073,500,000 ", $-   , -   ,    , $-   ,Consumer Staples,Personal Products,,,,,,    ,,
515,543,EL,Year 4,6/30/2016," $11,262,300,000 ",11262300000.0," $2,181,100,000 "," $7,337,800,000 ", $-   , -   ,    , $-   ,Consumer Staples,Personal Products,,,,,,    ,,
516,544,EMN,Year 1,12/31/2012," $8,102,000,000 ",8102000000.0," $6,340,000,000 "," $644,000,000 "," $198,000,000 "," 198,000,000 "," 198,000,000 ", $-   ,Materials,Diversified Chemicals,,,,,," 198,000,000 ",,
517,545,EMN,Year 2,12/31/2013," $9,350,000,000 ",9350000000.0," $6,574,000,000 "," $645,000,000 "," $193,000,000 "," 193,000,000 "," 193,000,000 ", $-   ,Materials,Diversified Chemicals,,,,,," 193,000,000 ",,
518,546,EMN,Year 3,12/31/2014," $9,527,000,000 ",9527000000.0," $7,306,000,000 "," $755,000,000 "," $227,000,000 "," 227,000,000 "," 227,000,000 ", $-   ,Materials,Diversified Chemicals,,,,,," 227,000,000 ",,
519,547,EMN,Year 4,12/31/2015," $9,648,000,000 ",9648000000.0," $7,068,000,000 "," $762,000,000 "," $251,000,000 "," 251,000,000 "," 251,000,000 ", $-   ,Materials,Diversified Chemicals,,,,,," 251,000,000 ",,
520,548,EMR,Year 1,9/30/2013," $24,669,000,000 ",24669000000.0," $14,717,000,000 "," $6,010,000,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Conglomerates,,,,,,    ,,
521,549,EMR,Year 2,9/30/2014," $17,733,000,000 ",17733000000.0," $9,971,000,000 "," $4,375,000,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Conglomerates,,,,,,    ,,
522,550,EMR,Year 3,9/30/2015," $16,249,000,000 ",16249000000.0," $9,241,000,000 "," $4,065,000,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Conglomerates,,,,,,    ,,
523,551,EMR,Year 4,9/30/2016," $14,522,000,000 ",14522000000.0," $8,260,000,000 "," $3,758,000,000 ", $-   , -   ,    , $-   ,Industrials,Industrial Conglomerates,,,,,,    ,,
524,552,EOG,Year 1,12/31/2012," $11,682,636,000 ",11682636000.0," $1,699,428,000 "," $3,862,434,000 ", $-   , -   ,    ," $3,169,703,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
525,553,EOG,Year 2,12/31/2013," $14,487,118,000 ",14487118000.0," $2,066,893,000 "," $4,621,096,000 ", $-   , -   ,    ," $3,600,976,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
526,554,EOG,Year 3,12/31/2014," $18,035,340,000 ",18035340000.0," $2,534,389,000 "," $5,285,634,000 ", $-   , -   ,    ," $3,997,041,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
527,555,EOG,Year 4,12/31/2015," $8,757,428,000 ",8757428000.0," $2,177,757,000 "," $3,174,320,000 ", $-   , -   ,    ," $3,313,644,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
528,556,EQIX,Year 1,12/31/2012," $1,887,376,000 ",1887376000.0," $944,617,000 "," $531,180,000 ", $-   , -   ,    , $-   ,Real Estate,REITs,,,,,,    ,,
529,557,EQIX,Year 2,12/31/2013," $2,152,766,000 ",2152766000.0," $1,064,403,000 "," $621,413,000 ", $-   , -   ,    , $-   ,Real Estate,REITs,,,,,,    ,,
530,558,EQIX,Year 3,12/31/2014," $2,443,776,000 ",2443776000.0," $1,197,885,000 "," $734,119,000 ", $-   , -   ,    , $-   ,Real Estate,REITs,,,,,,    ,,
531,559,EQIX,Year 4,12/31/2015," $2,725,867,000 ",2725867000.0," $1,291,506,000 "," $825,296,000 ", $-   , -   ,    , $-   ,Real Estate,REITs,,,,,,    ,,
532,560,EQR,Year 1,12/31/2012," $1,747,502,000 ",1747502000.0," $625,507,000 "," $47,233,000 ", $-   , -   ,    ," $560,669,000 ",Real Estate,REITs,,,,,,    ,,
533,561,EQR,Year 2,12/31/2013," $2,387,702,000 ",2387702000.0," $834,228,000 "," $62,179,000 ", $-   , -   ,    ," $978,973,000 ",Real Estate,REITs,,,,,,    ,,
534,562,EQR,Year 3,12/31/2014," $2,614,748,000 ",2614748000.0," $883,564,000 "," $50,948,000 ", $-   , -   ,    ," $758,861,000 ",Real Estate,REITs,,,,,,    ,,
535,563,EQR,Year 4,12/31/2015," $2,744,965,000 ",2744965000.0," $905,168,000 "," $65,082,000 ", $-   , -   ,    ," $765,895,000 ",Real Estate,REITs,,,,,,    ,,
536,564,EQT,Year 1,12/31/2013," $1,859,177,000 ",1859177000.0," $354,561,000 "," $200,849,000 ", $-   , -   ,    ," $653,132,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
537,565,EQT,Year 2,12/31/2014," $2,388,768,000 ",2388768000.0," $443,974,000 "," $238,134,000 ", $-   , -   ,    ," $679,298,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
538,566,EQT,Year 3,12/31/2015," $1,954,000,000 ",1954000000.0," $523,043,000 "," $249,925,000 ", $-   , -   ,    ," $819,216,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
539,567,EQT,Year 4,12/31/2016," $1,857,339,000 ",1857339000.0," $613,909,000 "," $272,747,000 ", $-   , -   ,    ," $927,920,000 ",Energy,Oil & Gas Exploration & Production,,,,,,    ,,
540,568,ES,Year 1,12/31/2012," $6,273,787,000 ",6273787000.0," $3,667,434,000 "," $747,356,000 ", $-   , -   ,    ," $740,791,000 ",Utilities,MultiUtilities,,,,,,    ,,
541,569,ES,Year 2,12/31/2013," $7,301,204,000 ",7301204000.0," $3,997,940,000 "," $914,149,000 ", $-   , -   ,    ," $859,680,000 ",Utilities,MultiUtilities,,,,,,    ,,
542,570,ES,Year 3,12/31/2014," $7,741,856,000 ",7741856000.0," $4,449,139,000 "," $1,034,507,000 ", $-   , -   ,    ," $625,361,000 ",Utilities,MultiUtilities,,,,,,    ,,
543,571,ES,Year 4,12/31/2015," $7,954,827,000 ",7954827000.0," $4,416,194,000 "," $1,086,274,000 ", $-   , -   ,    ," $688,195,000 ",Utilities,MultiUtilities,,,,,,    ,,
544,572,ESS,Year 1,12/31/2012," $535,153,000 ",535153000.0," $172,167,000 "," $24,573,000 ", $-   , -   ,    ," $169,173,000 ",Real Estate,Residential REITs,,,,,,    ,,
545,573,ESS,Year 2,12/31/2013," $610,590,000 ",610590000.0," $197,336,000 "," $26,684,000 ", $-   , -   ,    ," $192,420,000 ",Real Estate,Residential REITs,,,,,,    ,,
546,574,ESS,Year 3,12/31/2014," $970,938,000 ",970938000.0," $312,546,000 "," $40,878,000 ", $-   , -   ,    ," $360,592,000 ",Real Estate,Residential REITs,,,,,,    ,,
547,575,ESS,Year 4,12/31/2015," $1,194,407,000 ",1194407000.0," $363,508,000 "," $40,090,000 ", $-   , -   ,    ," $453,423,000 ",Real Estate,Residential REITs,,,,,,    ,,
548,576,ETFC,Year 1,12/31/2012," $1,365,000,000 ",1365000000.0, $-   ," $921,000,000 ", $-   , -   ,    ," $471,000,000 ",Financials,Investment Banking & Brokerage,,,,,,    ,,
549,577,ETFC,Year 2,12/31/2013," $1,466,000,000 ",1466000000.0, $-   ," $888,000,000 ", $-   , -   ,    ," $256,000,000 ",Financials,Investment Banking & Brokerage,,,,,,    ,,
550,578,ETFC,Year 3,12/31/2014," $1,665,000,000 ",1665000000.0, $-   ," $958,000,000 ", $-   , -   ,    ," $136,000,000 ",Financials,Investment Banking & Brokerage,,,,,,    ,,
551,579,ETFC,Year 4,12/31/2015," $1,403,000,000 ",1403000000.0, $-   ," $1,048,000,000 ", $-   , -   ,    ," $61,000,000 ",Financials,Investment Banking & Brokerage,,,,,,    ,,
552,580,ETN,Year 1,12/31/2012," $16,311,000,000 ",16311000000.0," $11,448,000,000 "," $2,894,000,000 "," $439,000,000 "," 439,000,000 "," 439,000,000 ", $-   ,Industrials,Industrial Conglomerates,,,,,," 439,000,000 ",,
553,581,ETN,Year 2,12/31/2013," $22,046,000,000 ",22046000000.0," $15,369,000,000 "," $3,886,000,000 "," $644,000,000 "," 644,000,000 "," 644,000,000 ", $-   ,Industrials,Industrial Conglomerates,,,,,," 644,000,000 ",,
554,582,ETN,Year 3,12/31/2014," $22,552,000,000 ",22552000000.0," $15,646,000,000 "," $3,810,000,000 "," $647,000,000 "," 647,000,000 "," 647,000,000 ", $-   ,Industrials,Industrial Conglomerates,,,,,," 647,000,000 ",,
555,583,ETN,Year 4,12/31/2015," $20,855,000,000 ",20855000000.0," $14,292,000,000 "," $3,596,000,000 "," $625,000,000 "," 625,000,000 "," 625,000,000 ", $-   ,Industrials,Industrial Conglomerates,,,,,," 625,000,000 ",,
556,584,ETR,Year 1,12/31/2012," $10,302,079,000 ",10302079000.0," $6,583,627,000 "," $917,162,000 ", $-   , -   ,    ," $1,144,585,000 ",Utilities,Electric Utilities,,,,,,    ,,
557,585,ETR,Year 2,12/31/2013," $11,390,947,000 ",11390947000.0," $7,588,885,000 "," $888,051,000 ", $-   , -   ,    ," $1,261,044,000 ",Utilities,Electric Utilities,,,,,,    ,,
558,586,ETR,Year 3,12/31/2014," $12,494,921,000 ",12494921000.0," $8,126,187,000 "," $863,455,000 ", $-   , -   ,    ," $1,318,638,000 ",Utilities,Electric Utilities,,,,,,    ,,
559,587,ETR,Year 4,12/31/2015," $11,513,251,000 ",11513251000.0," $7,449,273,000 "," $1,074,998,000 ", $-   , -   ,    ," $1,337,276,000 ",Utilities,Electric Utilities,,,,,,    ,,
560,588,EW,Year 1,12/31/2012," $1,899,600,000 ",1899600000.0," $491,000,000 "," $697,400,000 "," $291,300,000 "," 291,300,000 "," 291,300,000 ", $-   ,Health Care,Health Care Equipment,,,,,," 291,300,000 ",,
561,589,EW,Year 2,12/31/2013," $2,045,500,000 ",2045500000.0," $516,600,000 "," $749,700,000 "," $323,000,000 "," 323,000,000 "," 323,000,000 ", $-   ,Health Care,Health Care Equipment,,,,,," 323,000,000 ",,
562,590,EW,Year 3,12/31/2014," $2,322,900,000 ",2322900000.0," $625,600,000 "," $928,700,000 "," $346,500,000 "," 346,500,000 "," 346,500,000 ", $-   ,Health Care,Health Care Equipment,,,,,," 346,500,000 ",,
563,591,EW,Year 4,12/31/2015," $2,493,700,000 ",2493700000.0," $617,200,000 "," $850,700,000 "," $383,100,000 "," 383,100,000 "," 383,100,000 ", $-   ,Health Care,Health Care Equipment,,,,,," 383,100,000 ",,
564,592,EXC,Year 1,12/31/2013," $24,888,000,000 ",24888000000.0," $17,994,000,000 "," $1,095,000,000 ", $-   , -   ,    ," $2,153,000,000 ",Utilities,MultiUtilities,,,,,,    ,,
